CislunarSat.UTCGregorian,CislunarSat.ElapsedSecs,CislunarSat.A1ModJulian,Sun.EarthMJ2000Eq.X,Sun.EarthMJ2000Eq.Y,Sun.EarthMJ2000Eq.Z,Sun.EarthMJ2000Eq.VX,Sun.EarthMJ2000Eq.VY,Sun.EarthMJ2000Eq.VZ
01 Jun 2026 00:00:00.000,0,31192.50042863868,51444953.81855856,130913560.0915522,56747868.70612235,-27.52813431910512,9.36975240796837,4.062052922503068
01 Jun 2026 00:01:00.000,59.99999988125637,31192.50112308312,51443302.12699249,130914122.2677789,56748112.425437,-27.52825132494754,9.369455186726542,4.061924248549613
01 Jun 2026 00:03:12.977,192.9773640003987,31192.50266217298,51439641.47545137,130915368.1494347,56748652.55045557,-27.52851063107644,9.368796454398534,4.061639068057986
01 Jun 2026 00:05:31.271,331.2713288585655,31192.50426279757,51435834.42993217,130916663.7500686,56749214.23011691,-27.52878028604957,9.368111379228973,4.0613424831055
01 Jun 2026 00:07:51.762,471.7620112700388,31192.50588884714,51431966.87356208,130917979.8335411,56749784.78972907,-27.52905420497907,9.36741541588191,4.061041184372312
01 Jun 2026 00:10:47.242,647.2417735378258,31192.50791986291,51427136.05165752,130919623.5490991,56750497.38725064,-27.52939631577712,9.366546114755408,4.060664843628842
01 Jun 2026 00:13:28.226,808.2256864872761,31192.50978310264,51422704.23645687,130921131.3481513,56751151.06117605,-27.52971013907794,9.365748615427128,4.060319587509778
01 Jun 2026 00:16:13.470,973.469702876173,31192.51169564913,51418155.08997044,130922678.9144337,56751821.97541162,-27.53003224042019,9.364930003460312,4.059965191186074
01 Jun 2026 00:19:16.509,1156.509349518456,31192.51381416355,51413115.96994618,130924392.9849241,56752565.07407803,-27.53038899833345,9.364023222652383,4.059572624444233
01 Jun 2026 00:22:47.231,1367.230694170576,31192.51625306801,51407314.68608835,130926366.0745001,56753420.4650634,-27.53079966893833,9.362979293294435,4.059120682792669
01 Jun 2026 00:26:54.270,1614.270219672471,31192.51911232177,51400513.43094712,130928678.9492873,56754423.16286373,-27.5312810634368,9.361755423151601,4.058590840425301
01 Jun 2026 00:31:41.530,1901.529652811587,31192.52243708373,51392604.7303647,130931367.9974374,56755588.94287569,-27.53184075676671,9.360332273521619,4.057974725107163
01 Jun 2026 00:37:14.064,2234.063729422633,31192.52628585777,51383449.34740975,130934480.3529655,56756938.2391668,-27.53248856090083,9.358684790418179,4.057261490302952
01 Jun 2026 00:43:44.694,2624.693727213889,31192.5308070383,51372694.18286424,130938135.7579796,56758522.96356636,-27.53324940114286,9.356749436589693,4.056423629120848
01 Jun 2026 00:51:33.355,3093.354889028706,31192.5362313573,51359790.20434704,130942520.3589242,56760423.81621573,-27.5341620257125,9.354427418501803,4.055418371314016
01 Jun 2026 01:01:01.958,3661.957782693207,31192.54281240931,51344133.88542203,130947838.512471,56762729.39208508,-27.53526897550596,9.351610138579927,4.054198702126648
